<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume>
2023/07/01,09:52:00,30440.58000000,30446.00000000,30440.58000000,30446.00000000,9.32281000
2023/07/01,09:53:00,30445.99000000,30449.12000000,30438.93000000,30438.93000000,14.78763000
2023/07/01,09:54:00,30438.93000000,30440.83000000,30438.93000000,30439.64000000,3.42290000
2023/07/01,09:55:00,30439.64000000,30440.00000000,30434.22000000,30439.99000000,18.53093000
2023/07/01,09:56:00,30439.99000000,30443.02000000,30438.03000000,30443.02000000,11.85936000
2023/07/01,09:57:00,30443.01000000,30444.86000000,30441.57000000,30441.57000000,14.61915000
2023/07/01,09:58:00,30441.57000000,30447.28000000,30441.57000000,30446.97000000,4.55486000
2023/07/01,09:59:00,30446.98000000,30447.78000000,30446.97000000,30447.78000000,3.05861000
2023/07/01,10:00:00,30447.77000000,30452.98000000,30447.22000000,30452.97000000,12.03778000
2023/07/01,10:01:00,30452.98000000,30452.99000000,30432.44000000,30432.45000000,17.95883000
2023/07/01,10:02:00,30432.44000000,30434.50000000,30432.44000000,30434.49000000,3.94040000
2023/07/01,10:03:00,30434.50000000,30440.11000000,30428.01000000,30428.02000000,18.60379000
2023/07/01,10:04:00,30428.01000000,30428.02000000,30420.29000000,30420.29000000,19.93187000
2023/07/01,10:05:00,30420.29000000,30424.17000000,30415.71000000,30423.33000000,16.47504000
2023/07/01,10:06:00,30423.34000000,30423.34000000,30394.01000000,30394.02000000,22.20652000
2023/07/01,10:07:00,30394.01000000,30409.99000000,30390.33000000,30409.98000000,13.13997000
2023/07/01,10:08:00,30409.99000000,30440.00000000,30409.98000000,30439.99000000,11.01658000
2023/07/01,10:09:00,30439.99000000,30475.02000000,30439.99000000,30475.02000000,22.48071000
2023/07/01,10:10:00,30475.02000000,30475.02000000,30466.58000000,30466.59000000,8.56609000
2023/07/01,10:11:00,30466.58000000,30466.59000000,30454.74000000,30455.75000000,7.00128000
2023/07/01,10:12:00,30455.74000000,30455.75000000,30455.74000000,30455.74000000,5.13763000
2023/07/01,10:13:00,30455.74000000,30464.01000000,30455.74000000,30458.01000000,14.25290000
2023/07/01,10:14:00,30458.00000000,30458.25000000,30458.00000000,30458.24000000,4.92863000
2023/07/01,10:15:00,30458.25000000,30467.01000000,30455.00000000,30465.19000000,6.99054000
2023/07/01,10:16:00,30465.19000000,30474.00000000,30462.14000000,30474.00000000,7.43286000
2023/07/01,10:17:00,30474.00000000,30474.03000000,30460.00000000,30460.00000000,8.67384000
2023/07/01,10:18:00,30460.00000000,30462.00000000,30458.06000000,30462.00000000,7.96180000
2023/07/01,10:19:00,30462.00000000,30467.08000000,30461.99000000,30464.92000000,5.49740000
2023/07/01,10:20:00,30464.92000000,30464.92000000,30464.91000000,30464.92000000,3.27143000
2023/07/01,10:21:00,30464.91000000,30464.92000000,30459.79000000,30464.91000000,16.31289000
2023/07/01,10:22:00,30464.91000000,30483.94000000,30464.00000000,30466.01000000,47.20281000
2023/07/01,10:23:00,30466.01000000,30468.00000000,30466.00000000,30467.99000000,7.40750000
2023/07/01,10:24:00,30468.00000000,30475.15000000,30467.99000000,30475.14000000,7.27742000
2023/07/01,10:25:00,30475.15000000,30487.35000000,30475.14000000,30487.35000000,11.07014000
2023/07/01,10:26:00,30487.35000000,30492.00000000,30483.18000000,30486.91000000,10.55551000
2023/07/01,10:27:00,30486.91000000,30492.95000000,30486.23000000,30492.94000000,7.47552000
2023/07/01,10:28:00,30492.95000000,30500.00000000,30492.94000000,30499.61000000,10.95255000
2023/07/01,10:29:00,30499.62000000,30501.46000000,30498.00000000,30498.65000000,18.99648000
2023/07/01,10:30:00,30498.65000000,30502.50000000,30498.00000000,30502.50000000,8.42941000
2023/07/01,10:31:00,30502.50000000,30530.64000000,30502.49000000,30515.01000000,37.74615000
2023/07/01,10:32:00,30515.01000000,30517.99000000,30507.75000000,30507.76000000,14.39413000
2023/07/01,10:33:00,30507.76000000,30507.76000000,30500.01000000,30500.56000000,9.40258000
2023/07/01,10:34:00,30500.57000000,30500.57000000,30500.51000000,30500.51000000,3.38503000
2023/07/01,10:35:00,30500.51000000,30500.52000000,30478.01000000,30478.94000000,20.05681000
2023/07/01,10:36:00,30478.95000000,30481.99000000,30478.01000000,30481.12000000,10.64669000
2023/07/01,10:37:00,30481.12000000,30484.00000000,30471.87000000,30471.87000000,11.94843000
2023/07/01,10:38:00,30471.88000000,30480.00000000,30471.87000000,30479.99000000,2.90651000
2023/07/01,10:39:00,30479.99000000,30494.00000000,30479.99000000,30494.00000000,18.35763000
2023/07/01,10:40:00,30494.00000000,30494.00000000,30482.00000000,30493.98000000,13.34453000
2023/07/01,10:41:00,30493.99000000,30493.99000000,30472.85000000,30473.47000000,13.29789000
2023/07/01,10:42:00,30473.47000000,30478.91000000,30473.47000000,30474.04000000,8.71558000
2023/07/01,10:43:00,30474.04000000,30478.75000000,30474.04000000,30476.01000000,6.78118000
2023/07/01,10:44:00,30476.01000000,30476.01000000,30474.35000000,30474.36000000,2.10425000
2023/07/01,10:45:00,30474.35000000,30474.36000000,30468.93000000,30468.94000000,8.25051000
2023/07/01,10:46:00,30468.94000000,30469.48000000,30440.00000000,30443.33000000,19.32344000
2023/07/01,10:47:00,30443.32000000,30445.71000000,30430.00000000,30430.01000000,29.16126000
2023/07/01,10:48:00,30430.00000000,30436.83000000,30430.00000000,30435.93000000,24.28036000
2023/07/01,10:49:00,30435.92000000,30436.82000000,30435.92000000,30436.61000000,12.64408000
2023/07/01,10:50:00,30436.61000000,30436.81000000,30428.00000000,30436.80000000,13.64184000
2023/07/01,10:51:00,30436.80000000,30436.81000000,30434.64000000,30434.65000000,8.27982000
2023/07/01,10:52:00,30434.64000000,30436.81000000,30425.24000000,30428.00000000,15.35794000
